Demographic Data Report for United States by County,,,,
Population: White,,,,
"All Ages, Both Sexes",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County,fips,Value (Percent),People (White),Rank within US
"Tazewell County, Illinois",17179,95.1,125466,459 of 3143
"Carroll County, Missouri",29033,95.1,8141,460 of 3143
"Harlan County, Nebraska",31083,95.1,3057,461 of 3143
"Ottawa County, Kansas",20143,95.1,5492,462 of 3143
"Hancock County, Maine",23009,95,52672,463 of 3143
"Owen County, Kentucky",21187,95,10607,464 of 3143
"Otsego County, Michigan",26137,95,23776,465 of 3143
"Van Wert County, Ohio",39161,95,27380,466 of 3143
"Antrim County, Michigan",26009,95,22264,467 of 3143
"Rooks County, Kansas",20163,95,4728,468 of 3143
"Allegany County, New York",36003,95,44337,469 of 3143
"Clay County, Iowa",19041,95,15595,470 of 3143
"Shelby County, Missouri",29205,95,5784,471 of 3143
"Clay County, Arkansas",05021,95,13930,472 of 3143
"Thayer County, Nebraska",31169,95,4801,473 of 3143
"Geauga County, Ohio",39055,95,90648,474 of 3143
"Butler County, Nebraska",31023,95,7937,475 of 3143
"Steuben County, Indiana",18151,95,32660,476 of 3143
"Oregon County, Missouri",29149,95,8446,477 of 3143
"Alpena County, Michigan",26007,95,27463,478 of 3143
"Lincoln County, Wyoming",56023,95,18481,479 of 3143
"Perry County, Kentucky",21193,95,26988,480 of 3143
"Pendleton County, Kentucky",21191,95,13887,481 of 3143
"Brown County, Nebraska",31017,94.9,2613,482 of 3143
"Warren County, Iowa",19181,94.9,49241,483 of 3143
"Brown County, Minnesota",27015,94.9,24585,484 of 3143
"Harlan County, Kentucky",21095,94.9,25560,485 of 3143
"Morgan County, Utah",49029,94.9,11547,486 of 3143
"Waupaca County, Wisconsin",55135,94.9,49150,487 of 3143
"Edmonson County, Kentucky",21061,94.9,11549,488 of 3143
"Greene County, Iowa",19073,94.9,8383,489 of 3143
"Barber County, Kansas",20007,94.9,3966,490 of 3143
"Crawford County, Missouri",29055,94.9,22025,491 of 3143
"Gove County, Kansas",20063,94.9,2633,492 of 3143
"Butler County, Pennsylvania",42019,94.9,182771,493 of 3143
"Houston County, Minnesota",27055,94.9,17849,494 of 3143
"Osage County, Kansas",20139,94.9,15006,495 of 3143
"Crook County, Wyoming",56011,94.9,6819,496 of 3143
"Martin County, Minnesota",27091,94.9,19047,497 of 3143
"Wabash County, Indiana",18169,94.9,29533,498 of 3143
"Murray County, Minnesota",27101,94.9,7804,499 of 3143
"Roscommon County, Michigan",26143,94.9,22258,500 of 3143
"Madison County, Montana",30057,94.9,8064,501 of 3143
"Iowa County, Wisconsin",55049,94.9,22501,502 of 3143
"Crawford County, Pennsylvania",42039,94.9,80158,503 of 3143
"Upshur County, West Virginia",54097,94.9,22733,504 of 3143
"Carlisle County, Kentucky",21039,94.9,4573,505 of 3143
"Bremer County, Iowa",19017,94.8,23581,506 of 3143
"McPherson County, Kansas",20113,94.8,28508,507 of 3143
"Butte County, Idaho",16023,94.8,2440,508 of 3143
"Marion County, Iowa",19125,94.8,31655,509 of 3143
"Wright County, Missouri",29229,94.8,17298,510 of 3143
"Grant County, North Dakota",38037,94.8,2229,511 of 3143
"Morgan County, Missouri",29141,94.8,19799,512 of 3143
"Monroe County, Iowa",19135,94.8,7195,513 of 3143
"Price County, Wisconsin",55099,94.8,13276,513 of 3143
"Murray County, Georgia",13213,94.8,37781,515 of 3143
"Kennebec County, Maine",23011,94.8,116878,516 of 3143
"Gray County, Kansas",20069,94.8,5422,517 of 3143
"Osborne County, Kansas",20141,94.8,3329,518 of 3143
"Dickinson County, Michigan",26043,94.8,24600,519 of 3143
"Clinton County, Missouri",29049,94.8,19994,520 of 3143
"Powell County, Kentucky",21197,94.8,12368,521 of 3143
"Fillmore County, Nebraska",31059,94.8,5270,522 of 3143
"Blair County, Pennsylvania",42013,94.8,116671,523 of 3143
"Washington County, Vermont",50023,94.7,56473,524 of 3143
"Green Lake County, Wisconsin",55047,94.7,17990,525 of 3143
"Fremont County, Iowa",19071,94.7,6349,526 of 3143
"Bell County, Kentucky",21013,94.7,23374,527 of 3143
"Unicoi County, Tennessee",47171,94.7,16948,528 of 3143
"Phillips County, Kansas",20147,94.7,4757,529 of 3143
"Osceola County, Michigan",26133,94.7,21707,530 of 3143
"Yancey County, North Carolina",37199,94.7,17387,531 of 3143
"Fayette County, Indiana",18041,94.7,22156,532 of 3143
"Brooke County, West Virginia",54009,94.7,21407,533 of 3143
"Buchanan County, Virginia",51027,94.7,19524,534 of 3143
"Steele County, North Dakota",38091,94.7,1771,535 of 3143
"Custer County, Colorado",08027,94.7,4470,536 of 3143
"Tuscola County, Michigan",26157,94.7,50465,537 of 3143
"Monroe County, Kentucky",21171,94.7,10672,538 of 3143
"Clark County, Wisconsin",55019,94.7,32819,539 of 3143
"Chariton County, Missouri",29041,94.7,7038,540 of 3143
"Harrison County, Ohio",39067,94.7,13847,541 of 3143
"Marshall County, Minnesota",27089,94.7,8600,542 of 3143
"Jefferson County, Kansas",20087,94.7,17413,543 of 3143
"Polk County, Nebraska",31143,94.7,4945,544 of 3143
"Howell County, Missouri",29091,94.7,37634,545 of 3143
"Hardin County, Ohio",39065,94.7,29099,546 of 3143
"Stillwater County, Montana",30095,94.7,8440,547 of 3143
"Douglas County, Missouri",29067,94.7,11177,548 of 3143
"Harrison County, Kentucky",21097,94.7,17691,549 of 3143
"Wayne County, Missouri",29223,94.6,10691,550 of 3143
"Morgan County, West Virginia",54065,94.6,16219,551 of 3143
"Lawrence County, Ohio",39087,94.6,55383,552 of 3143
"Caledonia County, Vermont",50005,94.6,28747,553 of 3143
"Spink County, South Dakota",46115,94.6,6059,554 of 3143
"Wells County, Indiana",18179,94.6,26572,555 of 3143
"Marion County, Kansas",20115,94.5,11229,556 of 3143
"Iron County, Michigan",26071,94.5,10947,557 of 3143
"Cloud County, Kansas",20029,94.5,8543,558 of 3143
"Windsor County, Vermont",50027,94.5,54437,559 of 3143
"Allamakee County, Iowa",19005,94.5,13297,560 of 3143
"White County, Tennessee",47185,94.5,25645,561 of 3143
"Crawford County, Wisconsin",55023,94.5,15279,562 of 3143
"Orange County, Indiana",18117,94.5,18667,563 of 3143
"Wallace County, Kansas",20199,94.5,1445,564 of 3143
"Charlevoix County, Michigan",26029,94.5,24674,565 of 3143
"Missaukee County, Michigan",26113,94.5,14211,566 of 3143
"Union County, Georgia",13291,94.5,22852,567 of 3143
"Lewis County, West Virginia",54041,94.5,16032,568 of 3143
"Parke County, Indiana",18121,94.5,15417,569 of 3143
"Washington County, Missouri",29221,94.5,22480,570 of 3143
"Hot Springs County, Wyoming",56017,94.5,4415,571 of 3143
"Lamoille County, Vermont",50015,94.5,24488,572 of 3143
"Somerset County, Pennsylvania",42111,94.5,70224,573 of 3143
"Cameron County, Pennsylvania",42023,94.5,4342,574 of 3143
"Piute County, Utah",49031,94.5,1709,575 of 3143
"Isanti County, Minnesota",27059,94.5,38355,576 of 3143
"Ralls County, Missouri",29173,94.4,9745,577 of 3143
"Hand County, South Dakota",46059,94.4,2891,578 of 3143
"Clark County, South Dakota",46025,94.4,3580,579 of 3143
"Kalkaska County, Michigan",26079,94.4,16821,580 of 3143
"Door County, Wisconsin",55029,94.4,28055,581 of 3143
"Bennington County, Vermont",50003,94.4,35156,582 of 3143
"Washburn County, Wisconsin",55129,94.4,15635,583 of 3143
"Wilson County, Kansas",20205,94.4,8225,584 of 3143
"Clay County, Tennessee",47027,94.4,7144,585 of 3143
"Cheshire County, New Hampshire",33005,94.4,72187,586 of 3143
"Wabaunsee County, Kansas",20197,94.4,6495,587 of 3143
"Perkins County, South Dakota",46105,94.4,2810,588 of 3143
"Park County, Montana",30067,94.4,16113,589 of 3143
"Warren County, New York",36113,94.4,62000,590 of 3143
"Bowman County, North Dakota",38011,94.4,2854,591 of 3143
"Caldwell County, Missouri",29025,94.4,8358,592 of 3143
"Herkimer County, New York",36043,94.4,57184,593 of 3143
"Stanton County, Nebraska",31167,94.4,5546,594 of 3143
"Jackson County, Tennessee",47087,94.4,10971,595 of 3143
"Cass County, Nebraska",31025,94.4,25050,596 of 3143
"Jasper County, Iowa",19099,94.4,35562,597 of 3143
"Andrew County, Missouri",29003,94.4,17005,598 of 3143
"Crawford County, Michigan",26039,94.3,12361,599 of 3143
"Iosco County, Michigan",26069,94.3,23832,600 of 3143
"Aurora County, South Dakota",46003,94.3,2499,601 of 3143
"Benton County, Missouri",29015,94.3,18255,602 of 3143
"Ray County, Missouri",29177,94.3,21771,603 of 3143
"Guernsey County, Ohio",39059,94.3,36356,604 of 3143
"Esmeralda County, Nevada",32009,94.3,931,605 of 3143
"Towns County, Georgia",13281,94.3,11601,606 of 3143
"Wayne County, Ohio",39169,94.3,110208,607 of 3143
"Trimble County, Kentucky",21223,94.3,8018,608 of 3143
"Grundy County, Missouri",29079,94.3,9337,609 of 3143
"Calhoun County, Iowa",19025,94.3,9394,610 of 3143
"Webster County, Missouri",29225,94.3,36755,611 of 3143
"Baxter County, Arkansas",05005,94.3,39108,612 of 3143
"Miner County, South Dakota",46097,94.3,2162,613 of 3143
"Floyd County, Virginia",51063,94.3,14648,614 of 3143
"Anderson County, Kentucky",21005,94.3,22292,615 of 3143
"Cocke County, Tennessee",47029,94.3,33839,616 of 3143
"Sheridan County, Kansas",20179,94.3,2318,617 of 3143
"Jewell County, Kansas",20089,94.3,2759,618 of 3143
"Bates County, Missouri",29013,94.2,15173,619 of 3143
"Wythe County, Virginia",51197,94.2,26714,620 of 3143
"Douglas County, South Dakota",46043,94.2,2674,621 of 3143
"Dade County, Georgia",13083,94.2,15370,622 of 3143
"Fannin County, Georgia",13111,94.2,23740,623 of 3143
"Harrison County, West Virginia",54033,94.2,62385,624 of 3143
"Adams County, Idaho",16003,94.2,4070,625 of 3143
"Borden County, Texas",48033,94.2,518,626 of 3143
"Mitchell County, North Carolina",37121,94.2,14080,627 of 3143
"St. Croix County, Wisconsin",55109,94.2,87099,628 of 3143
"Columbia County, Pennsylvania",42037,94.2,61219,629 of 3143
"Hancock County, West Virginia",54029,94.2,27517,630 of 3143
"Sully County, South Dakota",46119,94.1,1204,631 of 3143
"Grand Traverse County, Michigan",26055,94.1,89007,632 of 3143
"Kinney County, Texas",48271,94.1,3011,633 of 3143
"Haakon County, South Dakota",46055,94.1,1758,634 of 3143
"Perry County, Indiana",18123,94.1,18023,635 of 3143
"Linn County, Kansas",20107,94.1,9097,636 of 3143
"Lawrence County, Tennessee",47099,94.1,41373,637 of 3143
"Henry County, Missouri",29083,94.1,20591,638 of 3143
"Bland County, Virginia",51021,94.1,5907,639 of 3143
"Franklin County, Missouri",29071,94.1,98165,640 of 3143
"Carroll County, Iowa",19027,94.1,19529,641 of 3143
"Medina County, Ohio",39103,94.1,170716,642 of 3143
"Lee County, Virginia",51105,94.1,21152,643 of 3143
"Winston County, Alabama",01133,94.1,22248,644 of 3143
"Pierce County, Wisconsin",55093,94.1,39702,645 of 3143
"Chippewa County, Wisconsin",55017,94,61957,646 of 3143
"Webster County, Nebraska",31181,94,3237,647 of 3143
"Aroostook County, Maine",23003,94,63263,648 of 3143
"Dade County, Missouri",29057,94,7132,649 of 3143
"Montgomery County, Iowa",19137,94,9711,650 of 3143
"Mahaska County, Iowa",19123,94,20811,651 of 3143
"Caribou County, Idaho",16029,94,6585,652 of 3143
"Columbiana County, Ohio",39029,94,96219,653 of 3143
"Lawrence County, Arkansas",05075,94,15316,654 of 3143
"Petroleum County, Montana",30069,94,408,655 of 3143
"Macon County, Tennessee",47111,94,23459,656 of 3143
"Phelps County, Nebraska",31137,94,8434,657 of 3143
"Piscataquis County, Maine",23021,94,15754,658 of 3143
"Russell County, Kentucky",21207,94,16834,659 of 3143
"Bullitt County, Kentucky",21029,94,76817,660 of 3143
"Le Sueur County, Minnesota",27079,94,26850,661 of 3143
"Benton County, Tennessee",47005,94,14917,662 of 3143
"Bear Lake County, Idaho",16007,94,5945,663 of 3143
"Henry County, Indiana",18065,94,45906,664 of 3143
"Oswego County, New York",36075,94,110888,665 of 3143
"Fayette County, Iowa",19065,94,18398,666 of 3143
"Paulding County, Ohio",39125,93.9,17717,667 of 3143
"McKean County, Pennsylvania",42083,93.9,38190,668 of 3143
"Montgomery County, Kentucky",21173,93.9,26383,669 of 3143
"Lapeer County, Michigan",26087,93.9,83274,670 of 3143
"Franklin County, Vermont",50011,93.9,46738,671 of 3143
"Clermont County, Ohio",39025,93.9,195061,672 of 3143
"Adams County, North Dakota",38001,93.9,2101,673 of 3143
"Richland County, Wisconsin",55103,93.9,16298,673 of 3143
"Wilkin County, Minnesota",27167,93.9,6100,675 of 3143
"Greene County, Tennessee",47059,93.9,65672,676 of 3143
"Greenwood County, Kansas",20073,93.9,5681,677 of 3143
"Wexford County, Michigan",26165,93.9,31507,678 of 3143
"Wayne County, Nebraska",31179,93.9,9004,679 of 3143
"Lincoln County, Kentucky",21137,93.9,22828,680 of 3143
"Van Buren County, Arkansas",05141,93.9,14882,681 of 3143
"Mineral County, West Virginia",54057,93.9,25390,682 of 3143
"Dawson County, Georgia",13085,93.9,24597,683 of 3143
"Merrick County, Nebraska",31121,93.9,7216,684 of 3143
"Neosho County, Kansas",20133,93.9,14950,685 of 3143
"St. Clair County, Missouri",29185,93.9,8669,686 of 3143
"Logan County, Ohio",39091,93.9,43173,687 of 3143
"Palo Alto County, Iowa",19147,93.8,8442,688 of 3143
"Madison County, North Carolina",37115,93.8,19957,689 of 3143
"Huron County, Ohio",39077,93.8,54966,690 of 3143
"Clay County, North Carolina",37043,93.8,10318,691 of 3143
"Shannon County, Missouri",29203,93.8,6741,692 of 3143
"Menominee County, Michigan",26109,93.8,22026,693 of 3143
"Sullivan County, Tennessee",47163,93.8,148075,694 of 3143
"Steuben County, New York",36101,93.8,88300,695 of 3143
"Winnebago County, Iowa",19189,93.8,10073,696 of 3143
"Williams County, Ohio",39171,93.8,34715,697 of 3143
"Lake County, South Dakota",46079,93.8,10649,698 of 3143
"Tazewell County, Virginia",51185,93.8,38077,699 of 3143
"Ottawa County, Ohio",39123,93.7,37949,700 of 3143
"Kidder County, North Dakota",38043,93.7,2247,701 of 3143
"Hardin County, Tennessee",47071,93.7,25048,702 of 3143
"Pendleton County, West Virginia",54071,93.7,5857,703 of 3143
"Chisago County, Minnesota",27025,93.7,52794,704 of 3143
"Grant County, Kentucky",21081,93.7,23352,705 of 3143
"Sullivan County, Pennsylvania",42113,93.7,5562,706 of 3143
"Red Lake County, Minnesota",27125,93.7,3674,707 of 3143
"Montgomery County, Illinois",17135,93.7,26687,708 of 3143
"Ransom County, North Dakota",38073,93.7,5321,709 of 3143
"Jefferson County, Tennessee",47089,93.7,50930,710 of 3143
"Lincoln County, Missouri",29113,93.7,54987,711 of 3143
"Franklin County, Iowa",19069,93.7,9421,712 of 3143
"Alleghany County, North Carolina",37005,93.7,10221,713 of 3143
"Shelby County, Indiana",18145,93.7,41994,714 of 3143
"Langlade County, Wisconsin",55067,93.7,18235,715 of 3143
"Decatur County, Iowa",19053,93.7,7228,716 of 3143
"Arthur County, Nebraska",31005,93.6,442,717 of 3143
"Westmoreland County, Pennsylvania",42129,93.6,332528,718 of 3143
"Iron County, Missouri",29093,93.6,8995,719 of 3143
"Daviess County, Indiana",18027,93.6,31164,720 of 3143
"Cavalier County, North Dakota",38019,93.6,3488,721 of 3143
"Armstrong County, Texas",48011,93.6,1854,722 of 3143
"Logan County, Kansas",20109,93.6,2600,723 of 3143
"Clinton County, Ohio",39027,93.6,39364,724 of 3143
"Marshall County, Indiana",18099,93.6,43228,725 of 3143
"Jones County, Iowa",19105,93.6,19360,726 of 3143
"Summers County, West Virginia",54089,93.6,11351,727 of 3143
"Jefferson County, Indiana",18077,93.6,30884,728 of 3143
"Camas County, Idaho",16025,93.6,977,729 of 3143
"Fulton County, Arkansas",05049,93.6,11297,730 of 3143
"Plymouth County, Iowa",19149,93.6,23903,731 of 3143
"Indiana County, Pennsylvania",42063,93.6,78249,732 of 3143
"Scioto County, Ohio",39145,93.6,69612,733 of 3143
"Union County, Illinois",17181,93.6,16150,734 of 3143
"McCone County, Montana",30055,93.6,1689,735 of 3143
"Pulaski County, Indiana",18131,93.6,11692,736 of 3143
"Page County, Virginia",51139,93.6,22206,737 of 3143
"Windham County, Vermont",50025,93.6,42859,738 of 3143
"Christian County, Missouri",29043,93.6,82164,739 of 3143
"Sheridan County, Wyoming",56033,93.6,28826,740 of 3143
"Randolph County, Indiana",18135,93.6,23090,741 of 3143
"Putnam County, Ohio",39137,93.5,32176,742 of 3143
"Clearfield County, Pennsylvania",42033,93.5,75458,743 of 3143
"Garrard County, Kentucky",21079,93.5,15919,744 of 3143
"Montgomery County, Indiana",18107,93.5,35511,745 of 3143
"Aitkin County, Minnesota",27001,93.5,14728,746 of 3143
"Fallon County, Montana",30025,93.5,2874,747 of 3143
"Carbon County, Pennsylvania",42025,93.5,60572,748 of 3143
"Beaverhead County, Montana",30001,93.5,8779,749 of 3143
"Rawlins County, Kansas",20153,93.5,2366,750 of 3143
"Lewis County, Tennessee",47101,93.5,11670,751 of 3143
"Lemhi County, Idaho",16059,93.5,7429,752 of 3143
"Lumpkin County, Georgia",13187,93.5,31019,753 of 3143
"York County, Maine",23031,93.5,196718,754 of 3143
"Noble County, Ohio",39121,93.5,13239,755 of 3143
"Monroe County, Missouri",29137,93.5,8077,756 of 3143
"Douglas County, Illinois",17041,93.4,18417,757 of 3143
"Champaign County, Ohio",39021,93.4,36140,758 of 3143
"Howard County, Nebraska",31093,93.4,6037,759 of 3143
"Haywood County, North Carolina",37087,93.4,57645,760 of 3143
"York County, Nebraska",31185,93.4,13234,761 of 3143
"Jackson County, Minnesota",27063,93.4,9358,762 of 3143
"Hardin County, Iowa",19083,93.4,15879,763 of 3143
"Miami County, Kansas",20121,93.4,31733,764 of 3143
"Chase County, Kansas",20017,93.4,2413,765 of 3143
"Sharp County, Arkansas",05135,93.4,16106,766 of 3143
"Delaware County, New York",36025,93.4,41700,767 of 3143
"Shelby County, Ohio",39149,93.4,45119,768 of 3143
"Sevier County, Utah",49041,93.4,20054,769 of 3143
"Cherokee County, Iowa",19035,93.4,10840,770 of 3143
"Fayette County, Illinois",17051,93.4,20091,771 of 3143
"Jefferson County, Montana",30043,93.4,11259,772 of 3143
"Nelson County, North Dakota",38063,93.4,2834,773 of 3143
"Red Willow County, Nebraska",31145,93.4,10011,774 of 3143
"Benzie County, Michigan",26019,93.3,16731,775 of 3143
"Macon County, Missouri",29121,93.3,14204,776 of 3143
"Fulton County, Indiana",18049,93.3,19035,777 of 3143
"Boyd County, Kentucky",21019,93.3,45205,778 of 3143
"Musselshell County, Montana",30065,93.3,4490,779 of 3143
"Columbia County, Wisconsin",55021,93.3,54311,780 of 3143
"Barron County, Wisconsin",55005,93.3,43404,781 of 3143
"Mason County, Michigan",26105,93.3,27146,782 of 3143
"Fergus County, Montana",30027,93.3,10693,783 of 3143
"Penobscot County, Maine",23019,93.3,141965,784 of 3143
"Lincoln County, Montana",30053,93.3,18346,785 of 3143
"Polk County, Missouri",29167,93.2,29411,786 of 3143
"Teton County, Montana",30099,93.2,5756,787 of 3143
"Dent County, Missouri",29065,93.2,13599,788 of 3143
"Reynolds County, Missouri",29179,93.2,5723,789 of 3143
"Nodaway County, Missouri",29147,93.2,20112,790 of 3143
"Shackelford County, Texas",48417,93.2,2932,791 of 3143
"Wayne County, Kentucky",21231,93.2,18405,792 of 3143
"Larue County, Kentucky",21123,93.2,13766,793 of 3143
"Pembina County, North Dakota",38067,93.2,6443,794 of 3143
"Hamilton County, New York",36041,93.2,4724,795 of 3143
"San Miguel County, Colorado",08113,93.2,7535,796 of 3143
"Noble County, Indiana",18113,93.2,44077,797 of 3143
"Otter Tail County, Minnesota",27111,93.2,55663,798 of 3143
"Keith County, Nebraska",31101,93.2,7746,799 of 3143
"Gallia County, Ohio",39053,93.2,27368,800 of 3143
"Watauga County, North Carolina",37189,93.2,50392,801 of 3143
"Northumberland County, Pennsylvania",42097,93.2,85569,802 of 3143
"Schuyler County, Illinois",17169,93.2,6477,803 of 3143
"Grant County, Arkansas",05053,93.1,16685,804 of 3143
