Demographic Data Report for United States by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Male"
2017-2021 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Fannin County, Georgia",13111,3.5,328,"1400 of 3143"
"Louisa County, Virginia",51109,3.5,460,"1399 of 3143"
"Mayes County, Oklahoma",40097,3.5,460,"1398 of 3143"
"Sumter County, South Carolina",45085,3.5,1133,"1397 of 3143"
"Glynn County, Georgia",13127,3.5,948,"1396 of 3143"
"Racine County, Wisconsin",55101,3.5,2293,"1395 of 3143"
"Roberts County, South Dakota",46109,3.5,113,"1394 of 3143"
"Jefferson County, Pennsylvania",42065,3.5,545,"1393 of 3143"
"Spencer County, Kentucky",21215,3.5,235,"1392 of 3143"
"Arapahoe County, Colorado",08005,3.5,7589,"1391 of 3143"
"Kingsbury County, South Dakota",46077,3.5,62,"1390 of 3143"
"Tillamook County, Oregon",41057,3.5,345,"1389 of 3143"
"Martin County, Florida",12085,3.5,2075,"1388 of 3143"
"Fayette County, Tennessee",47047,3.4,521,"1387 of 3143"
"Llano County, Texas",48299,3.4,276,"1386 of 3143"
"Sioux County, Iowa",19167,3.4,365,"1385 of 3143"
"Franklin County, Pennsylvania",42055,3.4,1823,"1384 of 3143"
"Nemaha County, Kansas",20131,3.4,113,"1383 of 3143"
"Wadena County, Minnesota",27159,3.4,160,"1382 of 3143"
"Curry County, Oregon",41015,3.4,323,"1381 of 3143"
"Converse County, Wyoming",56009,3.4,167,"1380 of 3143"
"Arlington County, Virginia",51013,3.4,2975,"1378 of 3143"
"Monroe County, Missouri",29137,3.4,105,"1378 of 3143"
"McHenry County, North Dakota",38049,3.4,67,"1377 of 3143"
"Kent County, Michigan",26081,3.4,7279,"1376 of 3143"
"Roger Mills County, Oklahoma",40129,3.4,41,"1375 of 3143"
"St. Louis City, Missouri",29510,3.4,3584,"1374 of 3143"
"Schuyler County, Illinois",17169,3.4,100,"1373 of 3143"
"Columbia County, New York",36021,3.4,794,"1372 of 3143"
"Alexander County, Illinois",17003,3.4,63,"1371 of 3143"
"Kiowa County, Kansas",20097,3.4,27,"1370 of 3143"
"Rock Island County, Illinois",17161,3.4,1653,"1369 of 3143"
"Buchanan County, Iowa",19019,3.4,229,"1368 of 3143"
"Lexington County, South Carolina",45063,3.4,3301,"1367 of 3143"
"Alleghany County and Clifton Forge City, Virginia",51005,3.4,182,"1366 of 3143"
"Blackford County, Indiana",18009,3.4,141,"1365 of 3143"
"Trempealeau County, Wisconsin",55121,3.4,358,"1364 of 3143"
"Newton County, Georgia",13217,3.4,1109,"1363 of 3143"
"Barbour County, West Virginia",54001,3.4,175,"1362 of 3143"
"Orangeburg County, South Carolina",45075,3.4,891,"1361 of 3143"
"DuPage County, Illinois",17043,3.4,10606,"1360 of 3143"
"Buncombe County, North Carolina",37021,3.4,3172,"1359 of 3143"
"Brown County, Wisconsin",55009,3.4,3008,"1358 of 3143"
"Henry County, Iowa",19087,3.4,244,"1357 of 3143"
"Baker County, Florida",12003,3.4,347,"1356 of 3143"
"Thomas County, Georgia",13275,3.4,492,"1355 of 3143"
"Denton County, Texas",48121,3.4,9704,"1354 of 3143"
"Gloucester County, Virginia",51073,3.4,466,"1353 of 3143"
"Baltimore County, Maryland",24005,3.4,9256,"1352 of 3143"
"St. Charles Parish, Louisiana",22089,3.4,583,"1351 of 3143"
"LaPorte County, Indiana",18091,3.4,1374,"1350 of 3143"
"Coles County, Illinois",17029,3.4,499,"1349 of 3143"
"Cowley County, Kansas",20035,3.4,381,"1348 of 3143"
"Latimer County, Oklahoma",40077,3.4,111,"1347 of 3143"
"Huntingdon County, Pennsylvania",42061,3.4,596,"1346 of 3143"
"Trumbull County, Ohio",39155,3.4,2352,"1345 of 3143"
"Shelby County, Kentucky",21211,3.4,530,"1344 of 3143"
"Millard County, Utah",49027,3.4,133,"1343 of 3143"
"Bullitt County, Kentucky",21029,3.4,956,"1342 of 3143"
"Beaver County, Utah",49001,3.4,68,"1341 of 3143"
"Faulkner County, Arkansas",05045,3.4,1245,"1340 of 3143"
"Crawford County, Indiana",18025,3.4,129,"1339 of 3143"
"Vernon Parish, Louisiana",22115,3.4,523,"1338 of 3143"
"Taylor County, West Virginia",54091,3.4,207,"1337 of 3143"
"Ward County, North Dakota",38101,3.4,765,"1336 of 3143"
"Pittsburg County, Oklahoma",40121,3.4,524,"1335 of 3143"
"Carroll County, Iowa",19027,3.4,228,"1334 of 3143"
"Baraga County, Michigan",26013,3.4,118,"1333 of 3143"
"District of Columbia",11001,3.4,7736,"1332 of 3143"
"Muscogee County, Georgia",13215,3.4,2110,"1331 of 3143"
"Jo Daviess County, Illinois",17085,3.4,276,"1330 of 3143"
"Greene County, Alabama",01063,3.4,89,"1329 of 3143"
"Real County, Texas",48385,3.4,30,"1328 of 3143"
"Shelby County, Missouri",29205,3.3,69,"1327 of 3143"
"Boyd County, Kentucky",21019,3.3,573,"1326 of 3143"
"Adams County, Nebraska",31001,3.3,337,"1325 of 3143"
"Jerauld County, South Dakota",46073,3.3,21,"1324 of 3143"
"Davison County, South Dakota",46035,3.3,222,"1323 of 3143"
"Schenectady County, New York",36093,3.3,1753,"1322 of 3143"
"Dewey County, South Dakota",46041,3.3,48,"1321 of 3143"
"McLean County, North Dakota",38055,3.3,120,"1320 of 3143"
"Montgomery County, Illinois",17135,3.3,368,"1319 of 3143"
"Lee County, Alabama",01081,3.3,1690,"1318 of 3143"
"Missaukee County, Michigan",26113,3.3,176,"1317 of 3143"
"Chesterfield County, Virginia",51041,3.3,3807,"1316 of 3143"
"Forest County, Wisconsin",55041,3.3,111,"1315 of 3143"
"Tyrrell County, North Carolina",37177,3.3,52,"1314 of 3143"
"Wake County, North Carolina",37183,3.3,11914,"1313 of 3143"
"Decatur County, Indiana",18031,3.3,290,"1312 of 3143"
"Cass County, Iowa",19029,3.3,154,"1311 of 3143"
"Howell County, Missouri",29091,3.3,426,"1310 of 3143"
"Fairfax County, Virginia",51059,3.3,12774,"1309 of 3143"
"Oglala Lakota/Shannon County, South Dakota",46102,3.3,111,"1308 of 3143"
"Wilson County, Kansas",20205,3.3,98,"1307 of 3143"
"Schuylkill County, Pennsylvania",42107,3.3,1780,"1306 of 3143"
"Craig County, Oklahoma",40035,3.3,166,"1305 of 3143"
"Salt Lake County, Utah",49035,3.3,12370,"1304 of 3143"
"Henrico County, Virginia",51087,3.3,3529,"1303 of 3143"
"Schoharie County, New York",36095,3.3,353,"1302 of 3143"
"Cecil County, Maryland",24015,3.3,1162,"1301 of 3143"
"Multnomah County, Oregon",41051,3.3,9714,"1300 of 3143"
"Greenup County, Kentucky",21089,3.3,401,"1299 of 3143"
"Macomb County, Michigan",26099,3.3,9859,"1298 of 3143"
"Hancock County, Kentucky",21091,3.3,101,"1297 of 3143"
"Harding County, South Dakota",46063,3.3,15,"1296 of 3143"
"Benzie County, Michigan",26019,3.3,221,"1295 of 3143"
"Washington County, Iowa",19183,3.3,245,"1294 of 3143"
"Lee County, Illinois",17103,3.3,445,"1293 of 3143"
"Jones County, Georgia",13169,3.3,303,"1292 of 3143"
"Forest County, Pennsylvania",42053,3.3,134,"1291 of 3143"
"Sumner County, Tennessee",47165,3.3,2094,"1290 of 3143"
"McMullen County, Texas",48311,3.3,8,"1289 of 3143"
"White Pine County, Nevada",32033,3.3,140,"1288 of 3143"
"Bay County, Florida",12005,3.3,2084,"1287 of 3143"
"Phelps County, Missouri",29161,3.3,452,"1286 of 3143"
"Livingston County, New York",36051,3.3,707,"1284 of 3143"
"Nelson County, Virginia",51125,3.3,173,"1284 of 3143"
"Jasper County, Georgia",13159,3.3,158,"1283 of 3143"
"Marshall County, Minnesota",27089,3.3,105,"1282 of 3143"
"Pender County, North Carolina",37141,3.3,685,"1281 of 3143"
"Wheeler County, Georgia",13309,3.3,88,"1280 of 3143"
"Worth County, Georgia",13321,3.3,223,"1279 of 3143"
"Carbon County, Utah",49007,3.3,213,"1278 of 3143"
"Stephenson County, Illinois",17177,3.3,499,"1277 of 3143"
"Franklin County, Georgia",13119,3.3,245,"1276 of 3143"
"Berrien County, Michigan",26021,3.3,1709,"1275 of 3143"
"Chatham County, Georgia",13051,3.3,3092,"1274 of 3143"
"Jefferson County, Illinois",17081,3.3,438,"1273 of 3143"
"Valley County, Nebraska",31175,3.3,46,"1272 of 3143"
"Henderson County, North Carolina",37089,3.3,1331,"1271 of 3143"
"Marengo County, Alabama",01091,3.3,197,"1270 of 3143"
"Newport News City, Virginia",51700,3.3,1832,"1269 of 3143"
"Traverse County, Minnesota",27155,3.3,38,"1268 of 3143"
"Marion County, Missouri",29127,3.3,302,"1267 of 3143"
"Broadwater County, Montana",30007,3.3,81,"1266 of 3143"
"Pitt County, North Carolina",37147,3.3,1564,"1265 of 3143"
"Black Hawk County, Iowa",19013,3.3,1335,"1264 of 3143"
"Harlan County, Nebraska",31083,3.2,36,"1263 of 3143"
"Heard County, Georgia",13149,3.2,124,"1262 of 3143"
"Hanson County, South Dakota",46061,3.2,35,"1261 of 3143"
"Lake County, Florida",12069,3.2,4307,"1259 of 3143"
"Richland County, Ohio",39139,3.2,1416,"1259 of 3143"
"Lumpkin County, Georgia",13187,3.2,325,"1258 of 3143"
"Fayette County, Kentucky",21067,3.2,3284,"1257 of 3143"
"Clark County, South Dakota",46025,3.2,40,"1256 of 3143"
"Frederick County, Maryland",24021,3.2,2880,"1255 of 3143"
"Mobile County, Alabama",01097,3.2,4225,"1254 of 3143"
"Gila County, Arizona",04007,3.2,627,"1253 of 3143"
"Moody County, South Dakota",46101,3.2,69,"1252 of 3143"
"Fillmore County, Nebraska",31059,3.2,65,"1251 of 3143"
"Butte County, South Dakota",46019,3.2,113,"1250 of 3143"
"Broome County, New York",36007,3.2,2058,"1249 of 3143"
"Hocking County, Ohio",39073,3.2,322,"1248 of 3143"
"Sullivan County, New Hampshire",33019,3.2,513,"1247 of 3143"
"East Baton Rouge Parish, Louisiana",22033,3.2,4367,"1246 of 3143"
"Kauai County, Hawaii",15007,3.2,832,"1245 of 3143"
"Monroe County, Pennsylvania",42089,3.2,1874,"1244 of 3143"
"Volusia County, Florida",12127,3.2,6311,"1243 of 3143"
"Keweenaw County, Michigan",26083,3.2,28,"1242 of 3143"
"Iredell County, North Carolina",37097,3.2,1991,"1241 of 3143"
"Cherokee County, Iowa",19035,3.2,135,"1240 of 3143"
"Humboldt County, California",06023,3.2,1500,"1239 of 3143"
"Lafayette County, Mississippi",28071,3.2,496,"1238 of 3143"
"Yancey County, North Carolina",37199,3.2,213,"1237 of 3143"
"Neosho County, Kansas",20133,3.2,163,"1236 of 3143"
"Steele County, Minnesota",27147,3.2,402,"1235 of 3143"
"Madison County, Tennessee",47113,3.2,980,"1234 of 3143"
"Massac County, Illinois",17127,3.2,156,"1233 of 3143"
"Pleasants County, West Virginia",54073,3.2,97,"1232 of 3143"
"Albemarle County, Virginia",51003,3.2,1143,"1231 of 3143"
"Berkeley County, West Virginia",54003,3.2,1302,"1230 of 3143"
"Bonneville County, Idaho",16019,3.2,1171,"1229 of 3143"
"Mecosta County, Michigan",26107,3.2,398,"1228 of 3143"
"Franklin County, Missouri",29071,3.2,1135,"1227 of 3143"
"Worcester County, Massachusetts",25027,3.2,9238,"1226 of 3143"
"Nowata County, Oklahoma",40105,3.2,103,"1225 of 3143"
"Maury County, Tennessee",47119,3.2,1036,"1224 of 3143"
"Franklin County, Ohio",39049,3.2,13445,"1223 of 3143"
"Walton County, Georgia",13297,3.2,971,"1222 of 3143"
"Madison County, Indiana",18095,3.2,1427,"1221 of 3143"
"Martin County, Indiana",18101,3.2,110,"1219 of 3143"
"Morrill County, Nebraska",31123,3.2,51,"1219 of 3143"
"Blaine County, Idaho",16013,3.2,267,"1218 of 3143"
"Lewis County, New York",36049,3.2,295,"1217 of 3143"
"Pike County, Indiana",18125,3.2,139,"1216 of 3143"
"Long County, Georgia",13183,3.2,163,"1215 of 3143"
"Pulaski County, Arkansas",05119,3.2,3974,"1214 of 3143"
"Sibley County, Minnesota",27143,3.2,166,"1213 of 3143"
"Chippewa County, Minnesota",27023,3.2,135,"1212 of 3143"
"Clarion County, Pennsylvania",42031,3.1,397,"1211 of 3143"
"Monona County, Iowa",19133,3.1,93,"1210 of 3143"
"New Castle County, Delaware",10003,3.1,5918,"1209 of 3143"
"Linn County, Oregon",41043,3.1,1364,"1208 of 3143"
"Fauquier County, Virginia",51061,3.1,766,"1207 of 3143"
"Wexford County, Michigan",26165,3.1,364,"1206 of 3143"
"Teton County, Idaho",16081,3.1,131,"1205 of 3143"
"Middlesex County, Massachusetts",25017,3.1,17405,"1204 of 3143"
"Indian River County, Florida",12061,3.1,1824,"1203 of 3143"
"Inyo County, California",06027,3.1,212,"1202 of 3143"
"Yellow Medicine County, Minnesota",27173,3.1,106,"1201 of 3143"
"McKean County, Pennsylvania",42083,3.1,470,"1200 of 3143"
"Taos County, New Mexico",35055,3.1,397,"1199 of 3143"
"Maui County, Hawaii",15009,3.1,1820,"1198 of 3143"
"Pueblo County, Colorado",08101,3.1,1750,"1197 of 3143"
"Herkimer County, New York",36043,3.1,660,"1196 of 3143"
"Cass County, Michigan",26027,3.1,579,"1195 of 3143"
"Daviess County, Kentucky",21059,3.1,1032,"1193 of 3143"
"Jefferson County, Wisconsin",55055,3.1,921,"1193 of 3143"
"Pawnee County, Kansas",20145,3.1,85,"1192 of 3143"
"Sullivan County, Pennsylvania",42113,3.1,79,"1191 of 3143"
"Newaygo County, Michigan",26123,3.1,546,"1190 of 3143"
"Fulton County, Pennsylvania",42057,3.1,168,"1189 of 3143"
"Washington County, Tennessee",47179,3.1,1388,"1188 of 3143"
"Montcalm County, Michigan",26117,3.1,755,"1187 of 3143"
"Schley County, Georgia",13249,3.1,47,"1186 of 3143"
"Marion County, Ohio",39101,3.1,776,"1185 of 3143"
"St. Marys County, Maryland",24037,3.1,1174,"1184 of 3143"
"Polk County, North Carolina",37149,3.1,220,"1183 of 3143"
"Logan County, Nebraska",31113,3.1,9,"1182 of 3143"
"Phillips County, Kansas",20147,3.1,55,"1181 of 3143"
"Randolph County, Indiana",18135,3.1,258,"1180 of 3143"
"Gregory County, South Dakota",46053,3.1,43,"1179 of 3143"
"Florence County, Wisconsin",55037,3.1,56,"1178 of 3143"
"Spotsylvania County, Virginia",51177,3.1,1385,"1177 of 3143"
"McIntosh County, Georgia",13191,3.1,133,"1176 of 3143"
"Humboldt County, Iowa",19091,3.1,103,"1175 of 3143"
"Sanpete County, Utah",49039,3.1,278,"1174 of 3143"
"Harrison County, West Virginia",54033,3.1,703,"1173 of 3143"
"Dutchess County, New York",36027,3.1,3191,"1172 of 3143"
"Delaware County, New York",36025,3.1,507,"1171 of 3143"
"Bartholomew County, Indiana",18005,3.1,853,"1169 of 3143"
"Muscatine County, Iowa",19139,3.1,433,"1169 of 3143"
"Duval County, Florida",12031,3.1,9852,"1168 of 3143"
"Carter County, Oklahoma",40019,3.1,472,"1167 of 3143"
"Jefferson County, Iowa",19101,3.1,184,"1166 of 3143"
"Kalkaska County, Michigan",26079,3.1,200,"1165 of 3143"
"Madison County, Ohio",39097,3.1,537,"1164 of 3143"
"Knox County, Nebraska",31107,3.1,86,"1163 of 3143"
"Franklin County, Kansas",20059,3.1,264,"1161 of 3143"
"Morris County, New Jersey",34027,3.1,5334,"1161 of 3143"
"Schoolcraft County, Michigan",26153,3.1,93,"1160 of 3143"
"Greer County, Oklahoma",40055,3.1,74,"1159 of 3143"
"Columbiana County, Ohio",39029,3.1,1134,"1158 of 3143"
"Collin County, Texas",48085,3.1,10215,"1156 of 3143"
"Dearborn County, Indiana",18029,3.1,527,"1156 of 3143"
"Worth County, Missouri",29227,3.1,21,"1155 of 3143"
"Howard County, Indiana",18067,3.1,827,"1154 of 3143"
"Ulster County, New York",36111,3.0,2020,"1153 of 3143"
"Northumberland County, Pennsylvania",42097,3.0,1026,"1152 of 3143"
"Harrison County, Mississippi",28047,3.0,2004,"1151 of 3143"
"Sabine Parish, Louisiana",22085,3.0,227,"1150 of 3143"
"Lyon County, Iowa",19119,3.0,117,"1149 of 3143"
"Clinton County, Pennsylvania",42035,3.0,376,"1148 of 3143"
"Haywood County, North Carolina",37087,3.0,672,"1147 of 3143"
"Simpson County, Kentucky",21213,3.0,192,"1146 of 3143"
"Sandoval County, New Mexico",35043,3.0,1499,"1145 of 3143"
"Little River County, Arkansas",05081,3.0,119,"1144 of 3143"
"DeKalb County, Missouri",29063,3.0,159,"1143 of 3143"
"Fulton County, Illinois",17057,3.0,393,"1141 of 3143"
"Roane County, Tennessee",47145,3.0,574,"1141 of 3143"
"Marion County, Kansas",20115,3.0,120,"1140 of 3143"
"Gratiot County, Michigan",26057,3.0,470,"1139 of 3143"
"Poquoson City, Virginia",51735,3.0,130,"1138 of 3143"
"Ste. Genevieve County, Missouri",29186,3.0,202,"1137 of 3143"
"Somerset County, New Jersey",34035,3.0,3501,"1136 of 3143"
"Shelby County, Ohio",39149,3.0,480,"1135 of 3143"
"Campbell County, Wyoming",56005,3.0,467,"1134 of 3143"
"Polk County, Minnesota",27119,3.0,318,"1132 of 3143"
"Renville County, Minnesota",27129,3.0,156,"1132 of 3143"
"Barnes County, North Dakota",38003,3.0,115,"1131 of 3143"
"Pulaski County, Illinois",17153,3.0,54,"1130 of 3143"
"Ness County, Kansas",20135,3.0,29,"1129 of 3143"
"Clark County, Arkansas",05019,3.0,176,"1128 of 3143"
"Comanche County, Oklahoma",40031,3.0,1174,"1127 of 3143"
"Judith Basin County, Montana",30045,3.0,23,"1126 of 3143"
"Schuyler County, New York",36097,3.0,198,"1125 of 3143"
"Lauderdale County, Alabama",01077,3.0,912,"1124 of 3143"
"Pasco County, Florida",12101,3.0,5728,"1123 of 3143"
"Ross County, Ohio",39141,3.0,859,"1122 of 3143"
"Marion County, Illinois",17121,3.0,378,"1121 of 3143"
"Ripley County, Indiana",18137,3.0,281,"1120 of 3143"
"Bennett County, South Dakota",46007,3.0,26,"1119 of 3143"
"Caledonia County, Vermont",50005,3.0,320,"1118 of 3143"
"Clark County, Indiana",18019,3.0,1204,"1117 of 3143"
"Wahkiakum County, Washington",53069,3.0,49,"1116 of 3143"
"King County, Washington",53033,3.0,24098,"1115 of 3143"
"Washington County, Colorado",08121,3.0,53,"1114 of 3143"
"Somerset County, Maine",23025,3.0,547,"1113 of 3143"
"Elko County, Nevada",32007,3.0,539,"1112 of 3143"
"Lynchburg City, Virginia",51680,3.0,604,"1111 of 3143"
"Screven County, Georgia",13251,3.0,144,"1110 of 3143"
"Kenton County, Kentucky",21117,3.0,1664,"1109 of 3143"
"Lake County, Montana",30047,3.0,310,"1108 of 3143"
"Traill County, North Dakota",38097,3.0,81,"1107 of 3143"
"Craig County, Virginia",51045,3.0,52,"1106 of 3143"
"Powhatan County, Virginia",51145,3.0,348,"1105 of 3143"
"Oswego County, New York",36075,3.0,1178,"1104 of 3143"
"DeSoto County, Mississippi",28033,3.0,1667,"1103 of 3143"
"Nassau County, Florida",12089,3.0,949,"1102 of 3143"
"Okaloosa County, Florida",12091,3.0,2123,"1101 of 3143"
"Douglas County, Oregon",41019,3.0,1176,"1100 of 3143"
"Kusilvak/Wade Hampton Census Area, Alaska",02158,3.0,67,"1099 of 3143"
"Botetourt County, Virginia",51023,2.9,360,"1098 of 3143"
"Presque Isle County, Michigan",26141,2.9,150,"1097 of 3143"
"Crawford County, Wisconsin",55023,2.9,177,"1096 of 3143"
"Bureau County, Illinois",17011,2.9,342,"1095 of 3143"
"Calhoun County, Michigan",26025,2.9,1301,"1094 of 3143"
"Shoshone County, Idaho",16079,2.9,142,"1093 of 3143"
"Charlotte County, Florida",12015,2.9,2186,"1092 of 3143"
"Sanders County, Montana",30089,2.9,142,"1091 of 3143"
"Linn County, Missouri",29115,2.9,115,"1090 of 3143"
"Kendall County, Texas",48259,2.9,426,"1089 of 3143"
"Keith County, Nebraska",31101,2.9,88,"1088 of 3143"
"Ontario County, New York",36069,2.9,1132,"1087 of 3143"
"Putnam County, Illinois",17155,2.9,61,"1086 of 3143"
"Plymouth County, Iowa",19149,2.9,248,"1085 of 3143"
"Pepin County, Wisconsin",55091,2.9,78,"1084 of 3143"
"Marinette County, Wisconsin",55075,2.9,460,"1083 of 3143"
"Chenango County, New York",36017,2.9,497,"1082 of 3143"
"Fountain County, Indiana",18045,2.9,165,"1081 of 3143"
"Merrick County, Nebraska",31121,2.9,81,"1080 of 3143"
"Roanoke County, Virginia",51161,2.9,962,"1079 of 3143"
"Polk County, Oregon",41053,2.9,796,"1078 of 3143"
"Huron County, Michigan",26063,2.9,338,"1077 of 3143"
"Colonial Heights City, Virginia",51570,2.9,167,"1076 of 3143"
"Harrison County, Missouri",29081,2.9,81,"1074 of 3143"
"O'Brien County, Iowa",19141,2.9,140,"1074 of 3143"
"Lawrence County, Indiana",18093,2.9,450,"1073 of 3143"
"Shelby County, Indiana",18145,2.9,444,"1072 of 3143"
"Franklin County, Illinois",17055,2.9,383,"1071 of 3143"
"Wilkin County, Minnesota",27167,2.9,69,"1070 of 3143"
"Berkshire County, Massachusetts",25003,2.9,1332,"1068 of 3143"
"Muskegon County, Michigan",26121,2.9,1735,"1068 of 3143"
"Hardin County, Iowa",19083,2.9,177,"1067 of 3143"
"Lancaster County, Nebraska",31109,2.9,2918,"1066 of 3143"
"Cuyahoga County, Ohio",39035,2.9,12176,"1065 of 3143"
"Otter Tail County, Minnesota",27111,2.9,622,"1064 of 3143"
"Huron County, Ohio",39077,2.9,567,"1063 of 3143"
"Cherokee County, North Carolina",37039,2.9,312,"1062 of 3143"
"Canadian County, Oklahoma",40017,2.9,1443,"1061 of 3143"
"Chemung County, New York",36015,2.9,863,"1060 of 3143"
"Paulding County, Georgia",13223,2.9,1518,"1059 of 3143"
"Buffalo County, Nebraska",31019,2.9,441,"1058 of 3143"
"Lackawanna County, Pennsylvania",42069,2.9,2117,"1057 of 3143"
"Clark County, Kansas",20025,2.9,21,"1056 of 3143"
"Staunton City, Virginia",51790,2.9,243,"1055 of 3143"
"Cape May County, New Jersey",34009,2.9,1001,"1054 of 3143"
"Putnam County, Missouri",29171,2.9,50,"1053 of 3143"
"Bradford County, Pennsylvania",42015,2.9,609,"1052 of 3143"
"St. John the Baptist Parish, Louisiana",22095,2.9,390,"1051 of 3143"
"Amite County, Mississippi",28005,2.9,127,"1050 of 3143"
"Nodaway County, Missouri",29147,2.9,177,"1049 of 3143"
"Alcona County, Michigan",26001,2.9,121,"1048 of 3143"
"Minnehaha County, South Dakota",46099,2.9,1861,"1047 of 3143"
"Lincoln County, Montana",30053,2.9,217,"1046 of 3143"
"Wagoner County, Oklahoma",40145,2.9,772,"1045 of 3143"
"McPherson County, Nebraska",31117,2.9,5,"1044 of 3143"
"Hamilton County, Iowa",19079,2.9,151,"1043 of 3143"
"Wood County, West Virginia",54107,2.9,833,"1042 of 3143"
"Grant County, Kentucky",21081,2.9,227,"1041 of 3143"
"Chester County, Pennsylvania",42029,2.9,5113,"1039 of 3143"
"Lucas County, Iowa",19117,2.9,87,"1039 of 3143"
"Bristol County, Rhode Island",44001,2.9,489,"1038 of 3143"
"Knox County, Tennessee",47093,2.9,4374,"1037 of 3143"
"Lincoln County, Washington",53043,2.9,110,"1036 of 3143"
"Carter County, Montana",30011,2.9,15,"1035 of 3143"
"Honolulu County, Hawaii",15003,2.9,10027,"1033 of 3143"
"Horry County, South Carolina",45051,2.9,3531,"1033 of 3143"
"Teton County, Montana",30099,2.9,59,"1032 of 3143"
"Rockwall County, Texas",48397,2.9,955,"1031 of 3143"
"Meade County, Kentucky",21163,2.9,295,"1030 of 3143"
"Morgan County, Illinois",17137,2.9,334,"1029 of 3143"
"Republic County, Kansas",20157,2.8,46,"1028 of 3143"
"Whiteside County, Illinois",17195,2.8,551,"1027 of 3143"
"Cavalier County, North Dakota",38019,2.8,38,"1026 of 3143"
"Citrus County, Florida",12017,2.8,1653,"1025 of 3143"
"Monroe County, New York",36055,2.8,7095,"1024 of 3143"
"Mercer County, Pennsylvania",42085,2.8,1095,"1023 of 3143"
"Putnam County, New York",36079,2.8,996,"1022 of 3143"
"Rutherford County, Tennessee",47149,2.8,2927,"1021 of 3143"
"Chester County, Tennessee",47023,2.8,156,"1020 of 3143"
"Erie County, New York",36029,2.8,9087,"1019 of 3143"
"Dorchester County, South Carolina",45035,2.8,1472,"1018 of 3143"
"Forsyth County, Georgia",13117,2.8,2238,"1017 of 3143"
"Kossuth County, Iowa",19109,2.8,149,"1016 of 3143"
"Morrison County, Minnesota",27097,2.8,335,"1015 of 3143"
"Nelson County, North Dakota",38063,2.8,32,"1014 of 3143"
"Otoe County, Nebraska",31131,2.8,149,"1013 of 3143"
"Currituck County, North Carolina",37053,2.8,275,"1012 of 3143"
"Jennings County, Indiana",18079,2.8,267,"1011 of 3143"
"Clinton County, Ohio",39027,2.8,388,"1010 of 3143"
"Oldham County, Kentucky",21185,2.8,674,"1009 of 3143"
"Plymouth County, Massachusetts",25023,2.8,4995,"1008 of 3143"
"Gem County, Idaho",16045,2.8,181,"1007 of 3143"
"York County, Pennsylvania",42133,2.8,4368,"1006 of 3143"
"Jefferson County, Alabama",01073,2.8,5970,"1005 of 3143"
"Green County, Wisconsin",55045,2.8,369,"1004 of 3143"
"Williamson County, Texas",48491,2.8,5428,"1003 of 3143"
"Greene County, Arkansas",05055,2.8,418,"1002 of 3143"
"Ocean County, New Jersey",34029,2.8,5720,"1001 of 3143"
"Grant County, Nebraska",31075,2.8,7,"1000 of 3143"
"Barber County, Kansas",20007,2.8,42,"999 of 3143"
"Ouachita County, Arkansas",05103,2.8,210,"998 of 3143"
"Rice County, Minnesota",27131,2.8,620,"997 of 3143"
"Pike County, Georgia",13231,2.8,172,"996 of 3143"
"Indiana County, Pennsylvania",42063,2.8,770,"995 of 3143"
"Jackson County, Oregon",41029,2.8,2156,"994 of 3143"
"Vermilion County, Illinois",17183,2.8,703,"993 of 3143"
"Mille Lacs County, Minnesota",27095,2.8,256,"992 of 3143"
"Pickaway County, Ohio",39129,2.8,605,"991 of 3143"
"Hennepin County, Minnesota",27053,2.8,12158,"990 of 3143"
"Bedford City and County, Virginia",51917,2.8,787,"989 of 3143"
"Mercer County, Illinois",17131,2.8,156,"988 of 3143"
"Orange County, Vermont",50017,2.8,294,"987 of 3143"
"Madison County, Mississippi",28089,2.8,946,"986 of 3143"
"Sweetwater County, Wyoming",56037,2.8,396,"985 of 3143"
"Uintah County, Utah",49047,2.8,290,"984 of 3143"
"Greene County, Illinois",17061,2.8,121,"983 of 3143"
"Garland County, Arkansas",05051,2.8,948,"982 of 3143"
"Adams County, Idaho",16003,2.8,50,"981 of 3143"
"Onondaga County, New York",36067,2.8,4311,"980 of 3143"
"Allegany County, Maryland",24001,2.8,712,"979 of 3143"
"Lucas County, Ohio",39095,2.8,3875,"978 of 3143"
"Onslow County, North Carolina",37133,2.8,1515,"977 of 3143"
"Jackson County, Iowa",19097,2.8,191,"976 of 3143"
"Barton County, Kansas",20009,2.8,235,"975 of 3143"
"Grant County, South Dakota",46051,2.8,74,"974 of 3143"
"Greene County, Missouri",29077,2.8,2595,"973 of 3143"
"Stephens County, Georgia",13257,2.8,241,"972 of 3143"
"Cheyenne County, Colorado",08017,2.8,17,"971 of 3143"
"Jasper County, Illinois",17079,2.8,90,"970 of 3143"
"Boone County, Missouri",29019,2.8,1476,"969 of 3143"
"Pinellas County, Florida",12103,2.8,9730,"968 of 3143"
"Bulloch County, Georgia",13031,2.8,588,"967 of 3143"
"Greene County, Indiana",18055,2.8,301,"966 of 3143"
"Faribault County, Minnesota",27043,2.8,136,"965 of 3143"
